iter	Passed	Remaining
0	22	6866
1	42	6385
2	61	6081
3	82	6071
4	101	6017
5	121	5968
6	141	5921
7	161	5901
8	181	5862
9	199	5795
10	219	5773
11	241	5793
12	261	5771
13	280	5738
14	299	5689
15	318	5652
16	337	5615
17	356	5581
18	375	5553
19	394	5518
20	414	5500
21	433	5477
22	457	5509
23	491	5650
24	525	5782
25	554	5847
26	582	5890
27	602	5849
28	620	5796
29	640	5760
30	659	5718
31	678	5680
32	697	5644
33	715	5600
34	735	5567
35	754	5532
36	772	5491
37	791	5455
38	809	5414
39	828	5383
40	847	5354
41	865	5319
42	885	5290
43	903	5257
44	923	5235
45	943	5210
46	963	5183
47	981	5154
48	999	5121
49	1018	5091
50	1038	5070
51	1057	5043
52	1078	5027
53	1097	5000
54	1119	4988
55	1146	4995
56	1181	5038
57	1201	5013
58	1218	4976
59	1237	4948
60	1260	4936
61	1281	4919
62	1299	4889
63	1318	4860
64	1339	4841
65	1359	4820
66	1377	4791
67	1397	4766
68	1416	4743
69	1435	4717
70	1455	4693
71	1472	4664
72	1490	4634
73	1508	4607
74	1527	4583
75	1546	4558
76	1569	4544
77	1588	4519
78	1606	4494
79	1627	4476
80	1646	4452
81	1667	4432
82	1687	4410
83	1706	4388
84	1724	4362
85	1743	4338
86	1762	4316
87	1781	4292
88	1799	4265
89	1817	4239
90	1834	4213
91	1853	4190
92	1872	4168
93	1893	4148
94	1911	4124
95	1930	4102
96	1949	4078
97	1969	4059
98	1988	4036
99	2006	4012
100	2024	3989
101	2046	3973
102	2067	3954
103	2086	3931
104	2106	3912
105	2130	3899
106	2149	3876
107	2167	3853
108	2186	3830
109	2205	3810
110	2223	3786
111	2241	3761
112	2260	3741
113	2281	3723
114	2302	3703
115	2323	3685
116	2344	3667
117	2367	3651
118	2387	3631
119	2414	3621
120	2432	3599
121	2450	3575
122	2470	3554
123	2490	3535
124	2511	3515
125	2530	3494
126	2548	3471
127	2567	3450
128	2585	3427
129	2604	3405
130	2624	3385
131	2645	3366
132	2663	3344
133	2685	3326
134	2703	3304
135	2722	3282
136	2740	3261
137	2760	3240
138	2781	3221
139	2802	3202
140	2824	3185
141	2844	3164
142	2862	3142
143	2881	3122
144	2905	3105
145	2925	3085
146	2945	3065
147	2964	3044
148	2983	3023
149	3002	3002
150	3023	2983
151	3041	2961
152	3061	2941
153	3086	2925
154	3107	2906
155	3127	2886
156	3145	2865
157	3162	2842
158	3180	2820
159	3202	2802
160	3222	2781
161	3241	2760
162	3260	2740
163	3280	2720
164	3300	2700
165	3320	2680
166	3339	2659
167	3361	2640
168	3382	2621
169	3401	2601
170	3422	2581
171	3441	2561
172	3466	2544
173	3487	2525
174	3506	2504
175	3528	2485
176	3548	2465
177	3569	2446
178	3588	2426
179	3606	2404
180	3627	2384
181	3648	2365
182	3667	2344
183	3686	2323
184	3704	2302
185	3734	2288
186	3753	2268
187	3773	2248
188	3793	2227
189	3812	2207
190	3831	2186
191	3850	2166
192	3870	2145
193	3887	2124
194	3906	2103
195	3927	2083
196	3945	2062
197	3962	2041
198	3983	2021
199	4001	2000
200	4021	1980
201	4038	1959
202	4059	1939
203	4078	1919
204	4096	1898
205	4113	1877
206	4133	1856
207	4151	1836
208	4170	1815
209	4189	1795
210	4208	1774
211	4228	1755
212	4245	1734
213	4263	1713
214	4282	1693
215	4301	1672
216	4319	1652
217	4338	1631
218	4357	1611
219	4375	1591
220	4394	1570
221	4415	1551
222	4436	1531
223	4456	1511
224	4479	1493
225	4498	1472
226	4516	1452
227	4535	1432
228	4559	1413
229	4579	1393
230	4596	1373
231	4616	1353
232	4636	1333
233	4654	1312
234	4676	1293
235	4696	1273
236	4714	1253
237	4733	1233
238	4753	1213
239	4773	1193
240	4791	1173
241	4810	1153
242	4829	1132
243	4849	1113
244	4867	1092
245	4884	1072
246	4904	1052
247	4924	1032
248	4944	1012
249	4964	992
250	4987	973
251	5009	954
252	5027	934
253	5046	913
254	5066	894
255	5085	874
256	5105	854
257	5126	834
258	5144	814
259	5164	794
260	5183	774
261	5202	754
262	5221	734
263	5238	714
264	5258	694
265	5276	674
266	5297	654
267	5317	634
268	5335	614
269	5358	595
270	5375	575
271	5395	555
272	5416	535
273	5434	515
274	5453	495
275	5471	475
276	5489	455
277	5508	435
278	5527	416
279	5545	396
280	5564	376
281	5582	356
282	5601	336
283	5618	316
284	5635	296
285	5654	276
286	5673	256
287	5692	237
288	5712	217
289	5731	197
290	5749	177
291	5768	158
292	5785	138
293	5803	118
294	5820	98
295	5838	78
296	5857	59
297	5874	39
298	5892	19
299	5910	0
