iter	Passed	Remaining
0	5	1676
1	9	1450
2	17	1714
3	22	1669
4	27	1616
5	32	1584
6	36	1545
7	41	1519
8	46	1511
9	51	1504
10	64	1707
11	71	1710
12	76	1685
13	80	1653
14	86	1638
15	91	1628
16	96	1610
17	102	1604
18	107	1595
19	112	1576
20	117	1561
21	122	1544
22	128	1541
23	133	1535
24	138	1523
25	143	1509
26	149	1509
27	154	1498
28	159	1489
29	164	1481
30	170	1475
31	175	1469
32	180	1460
33	185	1452
34	191	1446
35	195	1436
36	200	1425
37	204	1410
38	208	1397
39	212	1383
40	217	1371
41	221	1358
42	225	1347
43	229	1337
44	233	1324
45	237	1313
46	241	1301
47	246	1294
48	250	1282
49	254	1272
50	258	1261
51	262	1252
52	266	1242
53	270	1233
54	274	1223
55	278	1215
56	283	1208
57	287	1199
58	291	1192
59	295	1183
60	305	1195
61	312	1198
62	316	1189
63	320	1180
64	324	1173
65	328	1165
66	332	1157
67	336	1149
68	341	1142
69	345	1135
70	349	1126
71	353	1118
72	358	1113
73	362	1106
74	366	1098
75	370	1091
76	374	1084
77	378	1077
78	382	1069
79	385	1061
80	389	1054
81	393	1047
82	397	1039
83	401	1032
84	405	1026
85	409	1018
86	413	1011
87	417	1004
88	420	997
89	424	991
90	428	984
91	432	978
92	437	973
93	442	969
94	446	963
95	449	955
96	453	949
97	457	942
98	461	935
99	464	929
100	468	923
101	472	916
102	476	911
103	480	905
104	483	898
105	487	892
106	491	886
107	495	880
108	499	874
109	502	868
110	506	861
111	509	855
112	513	849
113	517	844
114	521	838
115	526	834
116	530	828
117	534	824
118	538	819
119	542	813
120	545	807
121	549	801
122	560	805
123	563	800
124	567	794
125	571	789
126	575	784
127	579	778
128	583	773
129	587	768
130	591	763
131	595	757
132	599	752
133	603	747
134	606	740
135	609	735
136	613	729
137	616	723
138	620	718
139	623	712
140	626	706
141	630	701
142	633	695
143	637	690
144	640	684
145	644	679
146	648	674
147	652	670
148	656	665
149	659	659
150	663	654
151	667	649
152	671	644
153	674	639
154	678	634
155	683	630
156	686	625
157	691	621
158	695	616
159	698	611
160	702	606
161	706	601
162	711	597
163	714	592
164	718	588
165	722	582
166	725	578
167	729	573
168	733	568
169	737	563
170	741	559
171	744	554
172	749	549
173	753	545
174	757	540
175	760	535
176	764	530
177	768	526
178	772	521
179	775	517
180	780	513
181	784	508
182	788	504
183	799	503
184	803	499
185	808	495
186	813	491
187	817	487
188	821	482
189	825	477
190	829	473
191	834	469
192	838	464
193	842	460
194	846	456
195	851	451
196	855	447
197	859	442
198	863	438
199	867	433
200	871	429
201	885	429
202	889	425
203	894	421
204	898	416
205	903	412
206	907	407
207	911	403
208	915	398
209	920	394
210	924	389
211	929	385
212	933	381
213	937	376
214	941	372
215	946	368
216	950	363
217	954	358
218	958	354
219	962	350
220	967	345
221	971	341
222	976	337
223	979	332
224	984	328
225	987	323
226	991	318
227	995	314
228	999	309
229	1003	305
230	1007	300
231	1010	296
232	1014	291
233	1018	287
234	1022	282
235	1026	278
236	1030	273
237	1033	269
238	1037	264
239	1041	260
240	1054	258
241	1060	254
242	1064	249
243	1068	245
244	1072	240
245	1076	236
246	1106	237
247	1112	233
248	1116	228
249	1120	224
250	1124	219
251	1128	214
252	1132	210
253	1136	205
254	1139	201
255	1143	196
256	1147	192
257	1151	187
258	1155	182
259	1160	178
260	1164	174
261	1168	169
262	1172	164
263	1176	160
264	1180	155
265	1184	151
266	1188	146
267	1192	142
268	1197	138
269	1201	133
270	1205	129
271	1209	124
272	1213	120
273	1217	115
274	1221	111
275	1225	106
276	1228	102
277	1242	98
278	1245	93
279	1250	89
280	1264	85
281	1268	80
282	1271	76
283	1275	71
284	1278	67
285	1282	62
286	1286	58
287	1295	53
288	1299	49
289	1302	44
290	1306	40
291	1310	35
292	1314	31
293	1317	26
294	1320	22
295	1324	17
296	1327	13
297	1331	8
298	1334	4
299	1337	0
