iter	Accuracy	MultiClass
0	0.5420417681	1.349727044
1	0.561593312	1.315849767
2	0.5613553622	1.286373171
3	0.5696915377	1.259505505
4	0.5663681718	1.236150353
5	0.5675975793	1.213758691
6	0.5699929408	1.192953152
7	0.5703022756	1.174085402
8	0.5740936095	1.156972049
9	0.5746567574	1.140805123
10	0.5807879312	1.125519617
11	0.5815255756	1.111079911
12	0.5834926275	1.097645692
13	0.5852137979	1.085727112
14	0.586054554	1.074261074
15	0.5888623619	1.062713121
16	0.5910911586	1.052389284
17	0.5926774907	1.042151316
18	0.596389508	1.032335163
19	0.5982931066	1.023138816
20	0.6006091516	1.014418434
21	0.6034566178	1.006068975
22	0.6052650364	0.997622754
23	0.6068593003	0.9901764305
24	0.6104126843	0.9825377036
25	0.611308962	0.9751873634
26	0.614465763	0.9681307408
27	0.6149813209	0.9616766547
28	0.6171228694	0.9553137593
29	0.6201369005	0.9493814638
30	0.6209221349	0.9437167568
31	0.6228178018	0.9381475021
32	0.6249752136	0.9330426435
33	0.6243406807	0.9283449251
34	0.6261173727	0.9236473931
35	0.6264822291	0.9190838199
36	0.6281954678	0.9140995411
37	0.6295993718	0.9092733842
38	0.632565813	0.9044667623
39	0.633430364	0.9006334605
40	0.6335969289	0.8967665804
41	0.6366268233	0.8926651413
42	0.6374675793	0.8890229418
43	0.6391966814	0.8845052068
44	0.6411558016	0.8806743941
45	0.6420917376	0.8771373706
46	0.6436146165	0.8741195654
47	0.644701254	0.8712889393
48	0.6454151035	0.8680333387
49	0.6467396908	0.8650965502
50	0.6473980187	0.8620839366
51	0.6499361501	0.85817308
52	0.6509276077	0.8556506555
53	0.6515700723	0.8530526457
54	0.653775074	0.8505342244
55	0.6543778802	0.8477748972
56	0.6553693378	0.8452200017
57	0.655995939	0.8423976082
58	0.6567097885	0.8398412478
59	0.658756157	0.8372845872
60	0.6594224165	0.8351217131
61	0.6610880652	0.8318769758
62	0.6625474908	0.828994101
63	0.6658470617	0.8257315321
64	0.6661088065	0.8235210838
65	0.6674095989	0.8211064381
66	0.6698208238	0.8181821247
67	0.6701936118	0.8164779026
68	0.6723986135	0.8143799799
69	0.6748574284	0.8115532105
70	0.6756109362	0.8099090729
71	0.6759599292	0.8080557872
72	0.6774590131	0.8062006522
73	0.6782601109	0.8048287404
74	0.679473655	0.8025429527
75	0.6801319828	0.8007317362
76	0.6813534586	0.7987689015
77	0.6827256359	0.7965778269
78	0.6837726151	0.7941297803
79	0.6847244144	0.7919693928
80	0.6855255122	0.7902159734
81	0.6865645598	0.787920946
82	0.6873735892	0.7862036441
83	0.6885395433	0.7843224279
84	0.6892851194	0.7827266086
85	0.6905303902	0.7810714294
86	0.6908714516	0.7795826477
