iter	Passed	Remaining
0	32	9785
1	56	8436
2	79	7857
3	101	7504
4	123	7282
5	146	7169
6	169	7084
7	191	6972
8	214	6934
9	236	6844
10	257	6768
11	278	6685
12	299	6615
13	319	6517
14	340	6468
15	362	6438
16	383	6379
17	403	6322
18	423	6259
19	443	6213
20	465	6180
21	486	6148
22	507	6116
23	527	6069
24	548	6028
25	569	6001
26	588	5952
27	608	5913
28	629	5882
29	649	5849
30	669	5813
31	690	5782
32	710	5744
33	729	5708
34	748	5670
35	769	5640
36	790	5618
37	811	5592
38	831	5567
39	850	5531
40	869	5491
41	889	5462
42	908	5429
43	930	5416
44	951	5391
45	972	5367
46	991	5335
47	1010	5306
48	1030	5279
49	1049	5249
50	1069	5221
51	1089	5197
52	1107	5162
53	1127	5135
54	1147	5112
55	1167	5086
56	1184	5051
57	1204	5026
58	1224	5003
59	1245	4981
60	1277	5005
61	1301	4997
62	1321	4970
63	1341	4947
64	1361	4923
65	1380	4894
66	1399	4866
67	1417	4837
68	1436	4808
69	1457	4789
70	1475	4758
71	1494	4732
72	1513	4704
73	1531	4676
74	1549	4649
75	1568	4621
76	1587	4597
77	1606	4572
78	1628	4554
79	1646	4528
80	1664	4500
81	1685	4481
82	1705	4458
83	1723	4431
84	1743	4408
85	1763	4387
86	1779	4357
87	1798	4332
88	1817	4308
89	1837	4286
90	1856	4264
91	1878	4246
92	1899	4228
93	1917	4202
94	1935	4176
95	1956	4158
96	1974	4132
97	1993	4108
98	2012	4085
99	2031	4062
100	2052	4044
101	2069	4018
102	2087	3993
103	2108	3972
104	2127	3951
105	2145	3926
106	2165	3906
107	2184	3883
108	2202	3859
109	2220	3835
110	2239	3813
111	2258	3790
112	2277	3768
113	2296	3746
114	2315	3724
115	2334	3703
116	2352	3680
117	2370	3655
118	2389	3633
119	2407	3611
120	2424	3585
121	2442	3563
122	2461	3542
123	2479	3519
124	2498	3497
125	2518	3477
126	2537	3456
127	2555	3433
128	2575	3413
129	2593	3391
130	2612	3370
131	2631	3348
132	2651	3329
133	2671	3309
134	2688	3285
135	2708	3265
136	2726	3244
137	2746	3224
138	2764	3201
139	2781	3178
140	2800	3158
141	2818	3136
142	2838	3116
143	2854	3092
144	2871	3070
145	2892	3051
146	2911	3030
147	2929	3008
148	2947	2986
149	2967	2967
150	2984	2945
151	3004	2925
152	3022	2904
153	3041	2883
154	3060	2863
155	3080	2843
156	3099	2823
157	3119	2803
158	3137	2782
159	3155	2760
160	3173	2739
161	3191	2719
162	3209	2697
163	3231	2679
164	3250	2659
165	3270	2640
166	3290	2620
167	3309	2600
168	3328	2580
169	3348	2560
170	3364	2538
171	3384	2518
172	3403	2498
173	3423	2479
174	3440	2457
175	3457	2435
176	3474	2414
177	3494	2395
178	3510	2373
179	3530	2353
180	3550	2334
181	3569	2314
182	3589	2294
183	3608	2274
184	3629	2256
185	3649	2236
186	3669	2217
187	3685	2195
188	3705	2176
189	3724	2156
190	3741	2135
191	3760	2115
192	3779	2095
193	3798	2075
194	3818	2056
195	3838	2036
196	3857	2016
197	3874	1996
198	3893	1976
199	3911	1955
200	3932	1936
201	3954	1918
202	3974	1899
203	3993	1879
204	4013	1860
205	4032	1839
206	4052	1820
207	4069	1800
208	4089	1780
209	4106	1759
210	4125	1739
211	4142	1719
212	4158	1698
213	4176	1678
214	4195	1658
215	4213	1638
216	4231	1618
217	4251	1599
218	4270	1579
219	4289	1559
220	4310	1540
221	4328	1520
222	4346	1500
223	4366	1481
224	4385	1461
225	4405	1442
226	4424	1422
227	4444	1403
228	4462	1383
229	4480	1363
230	4499	1344
231	4518	1324
232	4536	1304
233	4557	1285
234	4575	1265
235	4593	1245
236	4610	1225
237	4629	1205
238	4648	1186
239	4666	1166
240	4684	1146
241	4704	1127
242	4724	1108
243	4742	1088
244	4762	1069
245	4781	1049
246	4800	1029
247	4817	1010
248	4835	990
249	4853	970
250	4872	951
251	4892	931
252	4913	912
253	4932	893
254	4954	874
255	4972	854
256	4988	834
257	5007	815
258	5027	795
259	5047	776
260	5066	757
261	5082	737
262	5100	717
263	5117	697
264	5137	678
265	5157	659
266	5175	639
267	5195	620
268	5214	600
269	5235	581
270	5253	562
271	5273	542
272	5290	523
273	5311	504
274	5331	484
275	5350	465
276	5368	445
277	5388	426
278	5407	407
279	5424	387
280	5444	368
281	5462	348
282	5482	329
283	5500	309
284	5519	290
285	5536	271
286	5555	251
287	5577	232
288	5598	213
289	5618	193
290	5635	174
291	5654	154
292	5673	135
293	5694	116
294	5714	96
295	5732	77
296	5749	58
297	5769	38
298	5788	19
299	5806	0
