iter	Passed	Remaining
0	4	1451
1	8	1340
2	13	1288
3	16	1239
4	20	1218
5	24	1191
6	28	1178
7	31	1166
8	35	1162
9	39	1155
10	43	1151
11	47	1143
12	51	1137
13	55	1132
14	59	1126
15	63	1120
16	67	1115
17	70	1107
18	74	1101
19	78	1102
20	82	1093
21	86	1087
22	90	1087
23	94	1082
24	97	1076
25	101	1071
26	105	1066
27	109	1061
28	112	1054
29	116	1048
30	120	1043
31	124	1039
32	128	1036
33	131	1032
34	135	1028
35	140	1026
36	143	1021
37	147	1016
38	151	1011
39	154	1006
40	158	1001
41	162	996
42	166	993
43	169	988
44	173	983
45	177	980
46	181	975
47	184	971
48	188	966
49	192	963
50	196	958
51	200	955
52	204	951
53	208	948
54	211	943
55	215	940
56	219	935
57	223	931
58	226	926
59	230	922
60	234	918
61	238	915
62	242	912
63	246	909
64	250	906
65	254	903
66	259	901
67	263	897
68	266	893
69	270	889
70	275	887
71	279	884
72	282	879
73	286	874
74	290	872
75	294	868
76	298	864
77	302	860
78	306	856
79	309	851
80	313	846
81	317	842
82	320	838
83	325	836
84	328	831
85	332	826
86	335	822
87	340	819
88	343	815
89	347	811
90	351	807
91	355	803
92	359	799
93	363	795
94	366	791
95	370	788
96	375	785
97	379	781
98	383	778
99	386	773
100	390	770
101	394	766
102	399	763
103	403	759
104	406	755
105	411	752
106	415	748
107	418	744
108	422	740
109	426	736
110	429	731
111	433	727
112	438	725
113	442	721
114	445	717
115	449	712
116	453	709
117	456	704
118	460	700
119	464	697
120	468	693
121	472	689
122	476	685
123	480	681
124	484	678
125	488	674
126	492	670
127	495	666
128	499	662
129	503	658
130	507	654
131	511	651
132	514	646
133	518	642
134	522	638
135	526	634
136	530	631
137	535	628
138	539	624
139	543	620
140	546	616
141	550	612
142	553	608
143	557	603
144	561	600
145	566	597
146	570	593
147	573	589
148	577	585
149	580	580
150	584	576
151	588	572
152	592	568
153	595	564
154	599	561
155	603	557
156	607	553
157	611	549
158	614	544
159	618	540
160	622	537
161	625	533
162	629	529
163	633	524
164	637	521
165	640	517
166	644	513
167	648	509
168	652	506
169	656	502
170	660	498
171	664	494
172	668	490
173	672	486
174	675	482
175	679	478
176	683	474
177	687	470
178	690	467
179	694	463
180	698	459
181	702	455
182	706	451
183	709	447
184	713	443
185	717	439
186	721	435
187	724	431
188	728	428
189	732	424
190	736	420
191	740	416
192	744	412
193	748	409
194	752	405
195	756	401
196	760	397
197	764	393
198	767	389
199	771	385
200	775	381
201	778	377
202	782	373
203	786	369
204	790	366
205	794	362
206	797	358
207	801	354
208	805	350
209	809	346
210	813	343
211	817	339
212	820	335
213	824	331
214	828	327
215	832	323
216	835	319
217	839	315
218	843	311
219	847	308
220	850	304
221	854	300
222	858	296
223	861	292
224	866	288
225	870	284
226	874	281
227	877	277
228	882	273
229	886	269
230	890	265
231	894	262
232	897	258
233	901	254
234	905	250
235	909	246
236	912	242
237	916	238
238	920	234
239	924	231
240	928	227
241	931	223
242	935	219
243	939	215
244	942	211
245	946	207
246	950	203
247	953	200
248	957	196
249	961	192
250	965	188
251	969	184
252	973	180
253	977	177
254	981	173
255	985	169
256	988	165
257	992	161
258	996	157
259	1000	153
260	1004	150
261	1007	146
262	1011	142
263	1014	138
264	1018	134
265	1022	130
266	1025	126
267	1028	122
268	1032	119
269	1036	115
270	1040	111
271	1044	107
272	1047	103
273	1051	99
274	1055	95
275	1059	92
276	1063	88
277	1067	84
278	1070	80
279	1074	76
280	1078	72
281	1083	69
282	1088	65
283	1093	61
284	1097	57
285	1101	53
286	1105	50
287	1109	46
288	1113	42
289	1117	38
290	1121	34
291	1125	30
292	1128	26
293	1132	23
294	1136	19
295	1140	15
296	1143	11
297	1147	7
298	1151	3
299	1155	0
