iter	Passed	Remaining
0	27	8132
1	52	7760
2	75	7516
3	101	7499
4	162	9565
5	189	9271
6	208	8737
7	228	8332
8	247	8016
9	268	7779
10	287	7547
11	307	7384
12	327	7223
13	347	7093
14	366	6962
15	386	6851
16	405	6758
17	425	6667
18	446	6602
19	466	6525
20	486	6469
21	505	6393
22	524	6321
23	544	6261
24	564	6214
25	584	6159
26	604	6108
27	622	6046
28	642	6001
29	661	5956
30	682	5918
31	701	5879
32	721	5840
33	740	5796
34	759	5750
35	777	5698
36	795	5651
37	814	5613
38	832	5572
39	851	5537
40	870	5501
41	890	5472
42	910	5441
43	929	5405
44	947	5371
45	966	5338
46	984	5300
47	1004	5271
48	1025	5254
49	1044	5224
50	1063	5190
51	1081	5156
52	1099	5124
53	1117	5090
54	1135	5059
55	1153	5027
56	1171	4995
57	1190	4968
58	1209	4940
59	1227	4909
60	1245	4881
61	1264	4853
62	1283	4830
63	1311	4835
64	1330	4809
65	1349	4785
66	1368	4758
67	1389	4739
68	1408	4714
69	1426	4686
70	1444	4658
71	1462	4630
72	1482	4608
73	1500	4583
74	1520	4560
75	1538	4535
76	1558	4514
77	1577	4488
78	1594	4461
79	1613	4436
80	1632	4414
81	1651	4390
82	1669	4364
83	1688	4340
84	1706	4316
85	1724	4290
86	1743	4268
87	1760	4242
88	1779	4219
89	1798	4195
90	1815	4170
91	1833	4146
92	1851	4120
93	1869	4098
94	1888	4074
95	1905	4049
96	1923	4025
97	1941	4001
98	1960	3980
99	1981	3963
100	2000	3941
101	2017	3916
102	2036	3894
103	2055	3873
104	2074	3852
105	2093	3831
106	2112	3810
107	2130	3788
108	2149	3766
109	2169	3746
110	2188	3726
111	2205	3702
112	2226	3684
113	2244	3662
114	2262	3640
115	2281	3619
116	2299	3595
117	2317	3574
118	2335	3553
119	2354	3531
120	2371	3508
121	2390	3487
122	2408	3466
123	2427	3445
124	2446	3425
125	2465	3405
126	2483	3383
127	2501	3360
128	2522	3343
129	2540	3322
130	2558	3300
131	2577	3280
132	2596	3260
133	2614	3238
134	2633	3218
135	2652	3198
136	2671	3178
137	2690	3158
138	2709	3138
139	2728	3117
140	2745	3096
141	2764	3076
142	2782	3054
143	2801	3035
144	2819	3013
145	2838	2994
146	2857	2974
147	2878	2955
148	2895	2934
149	2913	2913
150	2933	2894
151	2952	2874
152	2970	2854
153	2989	2834
154	3007	2813
155	3024	2792
156	3043	2771
157	3062	2752
158	3080	2731
159	3098	2710
160	3118	2691
161	3137	2672
162	3156	2653
163	3175	2633
164	3193	2612
165	3212	2593
166	3233	2575
167	3250	2553
168	3269	2534
169	3288	2514
170	3306	2494
171	3324	2474
172	3342	2454
173	3362	2434
174	3380	2414
175	3397	2393
176	3413	2372
177	3431	2352
178	3450	2332
179	3469	2313
180	3487	2293
181	3505	2273
182	3526	2254
183	3545	2234
184	3563	2215
185	3583	2196
186	3601	2176
187	3621	2157
188	3639	2137
189	3660	2119
190	3678	2099
191	3697	2079
192	3714	2059
193	3732	2039
194	3750	2019
195	3771	2000
196	3789	1981
197	3807	1961
198	3825	1941
199	3843	1921
200	3862	1902
201	3880	1882
202	3898	1863
203	3918	1844
204	3938	1824
205	3957	1805
206	3974	1785
207	3992	1765
208	4009	1745
209	4027	1726
210	4047	1707
211	4066	1688
212	4084	1668
213	4103	1649
214	4121	1629
215	4140	1610
216	4159	1590
217	4176	1571
218	4194	1551
219	4213	1532
220	4231	1512
221	4249	1493
222	4266	1473
223	4285	1453
224	4302	1434
225	4321	1414
226	4340	1395
227	4358	1376
228	4376	1356
229	4394	1337
230	4412	1318
231	4429	1298
232	4447	1278
233	4465	1259
234	4483	1240
235	4501	1220
236	4519	1201
237	4539	1182
238	4558	1163
239	4576	1144
240	4596	1125
241	4613	1105
242	4630	1086
243	4648	1066
244	4667	1047
245	4686	1028
246	4704	1009
247	4723	990
248	4740	971
249	4758	951
250	4775	932
251	4793	913
252	4811	893
253	4830	874
254	4850	855
255	4869	836
256	4886	817
257	4906	798
258	4923	779
259	4940	760
260	4959	741
261	4978	722
262	4998	703
263	5019	684
264	5038	665
265	5057	646
266	5074	627
267	5094	608
268	5115	589
269	5134	570
270	5152	551
271	5172	532
272	5191	513
273	5209	494
274	5228	475
275	5246	456
276	5267	437
277	5285	418
278	5304	399
279	5321	380
280	5342	361
281	5362	342
282	5379	323
283	5398	304
284	5417	285
285	5436	266
286	5456	247
287	5477	228
288	5499	209
289	5521	190
290	5542	171
291	5561	152
292	5579	133
293	5595	114
294	5616	95
295	5636	76
296	5652	57
297	5676	38
298	5695	19
299	5712	0
